length,t,time_mean,time_std
100,n,0.0027055111,8.151911030815615e-5
100,i,0.001253326,0.0003951499215684543
100,b,8.5297e-5,2.4291283782002503e-5
200,n,0.0239301392,0.0011852736662905042
200,i,0.009430138000000001,0.0020885548663328057
200,b,0.00045211000000000003,1.5058915410258917e-5
300,n,0.0791673803,0.0019208622856444857
300,i,0.0361929983,0.009664974687113914
300,b,0.0013337581,0.00023831261922686056
400,n,0.183010451,0.0009340751061284535
400,i,0.0866316416,0.02618388969145774
400,b,0.0027324810999999997,0.0005975910305504277
500,n,0.3541520839,0.002354970685085646
500,i,0.18647921169999998,0.05186037187758428
500,b,0.0075626769,0.0020201599439292174
600,n,0.6231105027999999,0.04428725374432952
600,i,0.3113810516,0.06608355488243134
600,b,0.011567601,0.0011510864679698625
700,n,0.9690056154999999,0.003580166339982844
700,i,0.44693047759999993,0.08147374760124476
700,b,0.0142727274,0.0009077934940341391
800,n,1.4446619916,0.006214029372653591
800,i,0.7711246080999999,0.19165640531842196
800,b,0.0180294115,0.001471853469430919
900,n,2.0738898388000004,0.014631665796787032
900,i,0.9270547590000001,0.15038583448545134
900,b,0.021422348700000003,0.0021541005790968923
1000,n,2.8493899999000005,0.025422450485790404
1000,i,1.5085480419000001,0.3129310170516217
1000,b,0.027703171399999997,0.0016638079614610438
